abund	verdor	humedad	temperatura
2	0.129243	0.984420	296.58
1	0.126748	0.681103	298.43
1	0.109023	0.698678	298.63
14	0.091298	0.716254	295.84
13	0.117865	0.400926	297.16
4	0.106493	0.694796	297.68
0	0.126579	0.963104	297.85
3	0.095936	0.642343	298.45
2	0.096607	0.695577	300.47
3	0.117278	0.748812	296.50
0	0.080876	0.554597	295.42
8	0.107684	0.576911	297.79
25	0.049585	0.629336	297.79
22	0.065033	0.444106	297.96
19	0.107720	0.839048	297.07
16	0.054795	0.737025	296.72
19	0.086785	0.652679	298.40
7	0.108015	0.567867	298.79
8	0.074892	0.874332	298.88
4	0.088232	0.780798	296.98
8	0.093707	0.572923	295.85
4	0.091899	0.669774	295.40
7	0.057782	0.941566	298.76
11	0.092139	0.650687	297.44
14	0.064524	0.657087	299.44
29	0.096910	0.763487	297.44
22	0.040612	0.650884	296.84
7	0.092093	0.445843	296.60
0	0.074498	0.746471	298.92
12	0.057188	0.546161	296.02
23	0.087763	0.655348	299.34
12	0.068338	0.964536	297.66
14	0.076180	0.851986	297.00
7	0.081330	0.646967	296.73
11	0.093627	0.854709	298.04
21	0.072654	0.760177	296.97
25	0.080707	0.863117	297.15
10	0.098761	0.466057	298.33
14	0.096000	0.651761	297.70
0	0.070896	0.646043	297.45
